side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase,L_toe,L_heel,R_toe,R_heel
R,condition_1_onset,5679748.0,-0.767,1.647,0.053,-13.0,-137.8,119.3,404,686,0,,,,
R,condition_1_onset,5679807.0,-0.766,1.147,-0.175,-13.3,-77.9,-49.9,425,635,0,,,,
R,condition_1_onset,5679868.0,1.279,1.173,1.276,60.2,62.4,-51.8,555,761,0,,,,
R,condition_1_onset,5679927.0,0.091,1.041,-0.324,41.3,104.5,-68.6,475,829,0,,,,
R,condition_1_onset,5680031.0,0.345,0.908,0.125,28.0,5.3,-29.8,678,846,0,,,,
R,condition_1_onset,5680046.0,0.292,1.045,0.087,18.4,14.4,-27.3,620,850,0,,,,
R,condition_1_onset,5680107.0,0.223,0.994,-0.078,0.0,-24.7,-23.8,697,858,0,,,,
R,condition_1_onset,5680167.0,0.251,1.002,-0.025,-1.6,-27.7,-13.3,707,857,0,,,,
R,condition_1_onset,5680227.0,0.268,0.979,-0.008,-11.2,-29.1,-25.9,692,861,0,,,,
R,condition_1_onset,5680288.0,0.204,0.998,-0.054,10.0,-23.7,-28.9,730,858,0,,,,
R,condition_1_onset,5680347.0,0.186,1.045,-0.03,18.2,-28.6,-29.6,577,866,0,,,,
R,condition_1_onset,5680407.0,0.182,0.997,-0.055,14.2,-24.6,-39.6,593,857,0,,,,
R,condition_1_onset,5680467.0,0.241,1.082,-0.121,14.1,-28.4,-57.8,466,857,0,,,,
R,condition_1_onset,5680527.0,0.188,1.097,-0.065,4.2,-39.6,-80.2,326,862,0,,,,
R,condition_1_onset,5680587.0,0.335,1.255,0.119,-8.6,-36.5,-95.6,380,854,0,,,,
R,condition_1_onset,5680677.0,0.415,1.304,-0.334,39.4,-92.4,-153.8,383,837,0,,,,
R,condition_1_onset,5680737.0,0.109,1.201,-0.109,34.3,-124.2,-140.1,359,758,0,,,,
R,condition_1_onset,5680797.0,0.502,0.524,0.082,56.9,-212.8,-31.9,355,635,0,,,,
R,condition_1_onset,5680857.0,0.491,0.282,0.475,34.7,-119.5,82.2,294,608,0,,,,
R,condition_1_onset,5680947.0,0.248,0.841,0.513,20.7,-25.1,248.1,392,609,0,,,,
R,condition_1_onset,5681038.0,0.216,1.701,0.321,-47.9,-63.0,303.9,386,596,0,,,,
R,condition_1_onset,5681106.0,-0.753,2.189,0.191,-44.0,-65.3,231.4,391,619,0,,,,
R,condition_1_onset,5681158.0,-0.769,1.742,1.24,-56.5,-3.3,43.1,367,653,0,,,,
R,condition_1_onset,5681248.0,0.55,1.256,1.327,36.1,46.3,-85.0,601,725,0,,,,
