device_ms,toe_L,heel_L,toe_R,heel_R
324490,,,640.0,745.0
324550,,,794.0,868.0
324610,,,820.0,890.0
324670,,,826.0,895.0
324730,,,828.0,897.0
324790,,,824.0,896.0
324849,,,820.0,895.0
324910,,,807.0,886.0
324970,,,558.0,632.0
325030,,,667.0,835.0
325090,,,271.0,334.0
325150,,,519.0,678.0
325209,,,460.0,796.0
325270,,,123.0,651.0
325330,,,116.0,552.0
325834,,,577.0,648.0
325844,,,545.0,635.0
325870,,,750.0,833.0
325930,,,804.0,879.0
325990,,,820.0,892.0
326050,,,827.0,894.0
326139,,,831.0,896.0
326200,,,828.0,896.0
326260,,,828.0,898.0
326350,,,807.0,880.0
326453,,,712.0,821.0
326500,,,565.0,757.0
326590,,,446.0,759.0
326680,,,69.0,539.0
326740,,,143.0,657.0
326800,,,238.0,548.0
326860,,,179.0,578.0
326950,,,277.0,593.0
327010,,,278.0,627.0
327070,,,158.0,597.0
327130,,,136.0,705.0
327190,,,161.0,726.0
327250,,,377.0,603.0
327310,,,629.0,713.0
327370,,,781.0,860.0
327429,,,809.0,881.0
327490,,,819.0,891.0
327550,,,825.0,896.0
327610,,,827.0,898.0
327700,,,830.0,899.0
327760,,,831.0,900.0
327820,,,832.0,900.0
327880,,,829.0,898.0
327940,,,825.0,895.0
328043,,,694.0,758.0
328060,,,614.0,733.0
328150,,,420.0,779.0
328210,,,131.0,735.0
328270,,,112.0,563.0
328330,,,189.0,529.0
328390,,,251.0,508.0
328480,,,277.0,475.0
328541,,,333.0,531.0
328630,,,340.0,538.0
328690,,,331.0,508.0
328750,,,419.0,572.0
329254,,,702.0,788.0
329264,,,685.0,769.0
329291,,,715.0,800.0
329350,,,709.0,793.0
329410,,,667.0,748.0
329470,,,663.0,741.0
329530,,,644.0,720.0
329590,,,716.0,801.0
329650,,,739.0,825.0
329710,,,661.0,735.0
329770,,,722.0,802.0
329831,,,708.0,783.0
329890,,,714.0,793.0
329950,,,751.0,830.0
330009,,,760.0,841.0
330070,,,738.0,818.0
330160,,,752.0,830.0
330220,,,743.0,819.0
330280,,,748.0,823.0
330340,,,769.0,847.0
330400,,,773.0,851.0
330460,,,771.0,849.0
330520,,,777.0,855.0
330581,,,778.0,854.0
330640,,,775.0,850.0
330700,,,772.0,847.0
330760,,,773.0,848.0
330820,,,772.0,847.0
330880,,,771.0,848.0
330940,,,773.0,847.0
331000,,,774.0,849.0
331060,,,774.0,852.0
331121,,,775.0,848.0
331180,,,774.0,848.0
331240,,,774.0,850.0
331299,,,777.0,849.0
331360,,,778.0,849.0
331450,,,775.0,849.0
331510,,,778.0,852.0
331570,,,778.0,852.0
331630,,,779.0,855.0
331690,,,780.0,855.0
331750,,,771.0,846.0
331840,,,774.0,849.0
